State,YEAR,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
Connecticut,2021,"Combined Heat and Power, Electric Power",Petroleum,257.0
Connecticut,2021,"Combined Heat and Power, Industrial Power",Natural Gas,609038.0
Connecticut,2021,"Combined Heat and Power, Industrial Power",Petroleum,2952.0
Connecticut,2021,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,126.0
Connecticut,2021,"Electric Generators, Electric Utilities",Hydroelectric Conventional,41737.0
Connecticut,2021,"Electric Generators, Electric Utilities",Natural Gas,44194.0
Connecticut,2021,"Electric Generators, Electric Utilities",Other Biomass,0.0
Connecticut,2021,"Electric Generators, Electric Utilities",Petroleum,5990.0
Connecticut,2021,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,2403.0
Connecticut,2021,"Electric Generators, Independent Power Producers",Coal,244647.0
Connecticut,2021,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,281959.0
Connecticut,2021,"Electric Generators, Independent Power Producers",Natural Gas,23458609.0
Connecticut,2021,"Electric Generators, Independent Power Producers",Nuclear,17216509.0
Connecticut,2021,"Electric Generators, Independent Power Producers",Other,571201.0
Connecticut,2021,"Electric Generators, Independent Power Producers",Other Biomass,474312.0
Connecticut,2021,"Electric Generators, Independent Power Producers",Petroleum,84918.0
Connecticut,2021,"Electric Generators, Independent Power Producers",Pumped Storage,433.0
Connecticut,2021,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,282212.0
Connecticut,2021,"Electric Generators, Independent Power Producers",Wind,12758.0
Connecticut,2021,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,349669.0
Connecticut,2021,Total Electric Power Industry,Coal,244647.0
Connecticut,2021,Total Electric Power Industry,Hydroelectric Conventional,323695.0
Connecticut,2021,Total Electric Power Industry,Natural Gas,24545163.0
Connecticut,2021,Total Electric Power Industry,Nuclear,17216509.0
Connecticut,2021,Total Electric Power Industry,Other,571201.0
Connecticut,2021,Total Electric Power Industry,Other Biomass,474312.0
Connecticut,2021,Total Electric Power Industry,Petroleum,95560.0
Connecticut,2021,Total Electric Power Industry,Pumped Storage,433.0
Connecticut,2021,Total Electric Power Industry,Solar Thermal and Photovoltaic,289623.0
Connecticut,2021,Total Electric Power Industry,Wind,12758.0
Connecticut,2021,Total Electric Power Industry,Wood and Wood Derived Fuels,349669.0
Connecticut,2022,"Combined Heat and Power, Commercial Power",Natural Gas,114644.0
Connecticut,2022,"Combined Heat and Power, Commercial Power",Petroleum,3378.0
Connecticut,2022,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,2052.0
Connecticut,2022,"Combined Heat and Power, Electric Power",Natural Gas,57708.0
Connecticut,2022,"Combined Heat and Power, Electric Power",Petroleum,76.0
Connecticut,2022,"Combined Heat and Power, Industrial Power",Natural Gas,229240.0
Connecticut,2022,"Combined Heat and Power, Industrial Power",Petroleum,860.0
Connecticut,2022,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,53.0
Connecticut,2022,"Electric Generators, Electric Utilities",Hydroelectric Conventional,19503.0
Connecticut,2022,"Electric Generators, Electric Utilities",Natural Gas,13655.0
Connecticut,2022,"Electric Generators, Electric Utilities",Other Biomass,0.0
Connecticut,2022,"Electric Generators, Electric Utilities",Petroleum,2372.0
Connecticut,2022,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,246.0
Connecticut,2022,"Electric Generators, Independent Power Producers",Coal,0.0
Connecticut,2022,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,125547.0
Connecticut,2022,"Electric Generators, Independent Power Producers",Natural Gas,8608467.0
Connecticut,2022,"Electric Generators, Independent Power Producers",Nuclear,5836438.0
Connecticut,2022,"Electric Generators, Independent Power Producers",Other,222731.0
Connecticut,2022,"Electric Generators, Independent Power Producers",Other Biomass,184651.0
Connecticut,2022,"Electric Generators, Independent Power Producers",Petroleum,68324.0
Connecticut,2022,"Electric Generators, Independent Power Producers",Pumped Storage,-349.0
Connecticut,2022,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,170488.0
Connecticut,2022,"Electric Generators, Independent Power Producers",Wind,6168.0
Connecticut,2022,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,118737.0
Connecticut,2022,Total Electric Power Industry,Coal,0.0
Connecticut,2022,Total Electric Power Industry,Hydroelectric Conventional,145050.0
Connecticut,2022,Total Electric Power Industry,Natural Gas,9023716.0
Connecticut,2022,Total Electric Power Industry,Nuclear,5836438.0
Connecticut,2022,Total Electric Power Industry,Other,222731.0
Connecticut,2022,Total Electric Power Industry,Other Biomass,184651.0
Connecticut,2022,Total Electric Power Industry,Petroleum,75010.0
Connecticut,2022,Total Electric Power Industry,Pumped Storage,-349.0
Connecticut,2022,Total Electric Power Industry,Solar Thermal and Photovoltaic,172841.0
Connecticut,2022,Total Electric Power Industry,Wind,6168.0
Connecticut,2022,Total Electric Power Industry,Wood and Wood Derived Fuels,118737.0
Delaware,2001,"Combined Heat and Power, Industrial Power",Coal,80616.0
Delaware,2001,"Combined Heat and Power, Industrial Power",Other Gases,157062.0
Delaware,2001,"Combined Heat and Power, Industrial Power",Petroleum,269381.0
Delaware,2001,"Electric Generators, Electric Utilities",Coal,1626254.0
Delaware,2001,"Electric Generators, Electric Utilities",Natural Gas,36711.0
Delaware,2001,"Electric Generators, Electric Utilities",Petroleum,209089.0
Delaware,2001,"Electric Generators, Independent Power Producers",Coal,1661637.0
Delaware,2001,"Electric Generators, Independent Power Producers",Natural Gas,1538775.0
Delaware,2001,"Electric Generators, Independent Power Producers",Petroleum,1228160.0
Delaware,2001,Total Electric Power Industry,Coal,3368507.0
Delaware,2001,Total Electric Power Industry,Natural Gas,1575486.0
Delaware,2001,Total Electric Power Industry,Other Gases,157062.0
Delaware,2001,Total Electric Power Industry,Petroleum,1706630.0
Delaware,2002,"Combined Heat and Power, Industrial Power",Coal,81422.0
Delaware,2002,"Combined Heat and Power, Industrial Power",Natural Gas,86639.0
Delaware,2002,"Combined Heat and Power, Industrial Power",Other Gases,146345.0
Delaware,2002,"Combined Heat and Power, Industrial Power",Petroleum,245628.0
Delaware,2002,"Electric Generators, Electric Utilities",Natural Gas,16876.0
Delaware,2002,"Electric Generators, Electric Utilities",Petroleum,154116.0
Delaware,2002,"Electric Generators, Independent Power Producers",Coal,3382142.0
Delaware,2002,"Electric Generators, Independent Power Producers",Natural Gas,1339369.0
Delaware,2002,"Electric Generators, Independent Power Producers",Petroleum,549947.0
Delaware,2002,Total Electric Power Industry,Coal,3463564.0
Delaware,2002,Total Electric Power Industry,Natural Gas,1442884.0
Delaware,2002,Total Electric Power Industry,Other Gases,146345.0
Delaware,2002,Total Electric Power Industry,Petroleum,949696.0
Delaware,2003,"Combined Heat and Power, Electric Power",Coal,95430.0
Delaware,2003,"Combined Heat and Power, Electric Power",Natural Gas,12331.0
Delaware,2003,"Combined Heat and Power, Electric Power",Petroleum,1659.0
Delaware,2003,"Combined Heat and Power, Industrial Power",Coal,32882.0
Delaware,2003,"Combined Heat and Power, Industrial Power",Natural Gas,824.0
Delaware,2003,"Combined Heat and Power, Industrial Power",Other Gases,185147.0
Delaware,2003,"Combined Heat and Power, Industrial Power",Petroleum,380156.0
Delaware,2003,"Electric Generators, Electric Utilities",Natural Gas,21244.0
Delaware,2003,"Electric Generators, Electric Utilities",Petroleum,9863.0
Delaware,2003,"Electric Generators, Independent Power Producers",Coal,3898182.0
Delaware,2003,"Electric Generators, Independent Power Producers",Natural Gas,1429381.0
Delaware,2003,"Electric Generators, Independent Power Producers",Petroleum,1325185.0
Delaware,2003,Total Electric Power Industry,Coal,4026494.0
Delaware,2003,Total Electric Power Industry,Natural Gas,1463780.0
Delaware,2003,Total Electric Power Industry,Other Gases,185147.0
Delaware,2003,Total Electric Power Industry,Petroleum,1716863.0
Delaware,2004,"Combined Heat and Power, Electric Power",Coal,104442.0
Delaware,2004,"Combined Heat and Power, Electric Power",Natural Gas,22020.0
Delaware,2004,"Combined Heat and Power, Electric Power",Petroleum,1896.0
Delaware,2004,"Combined Heat and Power, Industrial Power",Coal,117571.0
Delaware,2004,"Combined Heat and Power, Industrial Power",Natural Gas,43175.0
Delaware,2004,"Combined Heat and Power, Industrial Power",Other Gases,289721.0
Delaware,2004,"Combined Heat and Power, Industrial Power",Petroleum,387052.0
Delaware,2004,"Electric Generators, Electric Utilities",Natural Gas,13668.0
Delaware,2004,"Electric Generators, Electric Utilities",Petroleum,10084.0
Delaware,2004,"Electric Generators, Independent Power Producers",Coal,4521823.0
Delaware,2004,"Electric Generators, Independent Power Producers",Natural Gas,1639556.0
Delaware,2004,"Electric Generators, Independent Power Producers",Petroleum,704539.0
Delaware,2004,Total Electric Power Industry,Coal,4743835.0
Delaware,2004,Total Electric Power Industry,Natural Gas,1718419.0
Delaware,2004,Total Electric Power Industry,Other Gases,289721.0
Delaware,2004,Total Electric Power Industry,Petroleum,1103578.0
Delaware,2005,"Combined Heat and Power, Electric Power",Coal,104807.0
Delaware,2005,"Combined Heat and Power, Electric Power",Natural Gas,19200.0
Delaware,2005,"Combined Heat and Power, Electric Power",Petroleum,5437.0
Delaware,2005,"Combined Heat and Power, Industrial Power",Coal,122027.0
Delaware,2005,"Combined Heat and Power, Industrial Power",Natural Gas,6954.0
Delaware,2005,"Combined Heat and Power, Industrial Power",Other Gases,492669.0
Delaware,2005,"Combined Heat and Power, Industrial Power",Petroleum,281756.0
Delaware,2005,"Electric Generators, Electric Utilities",Natural Gas,19546.0
Delaware,2005,"Electric Generators, Electric Utilities",Petroleum,6443.0
Delaware,2005,"Electric Generators, Independent Power Producers",Coal,4606010.0
Delaware,2005,"Electric Generators, Independent Power Producers",Natural Gas,1545120.0
Delaware,2005,"Electric Generators, Independent Power Producers",Petroleum,926609.0
Delaware,2005,Total Electric Power Industry,Coal,4832844.0
Delaware,2005,Total Electric Power Industry,Natural Gas,1590816.0
Delaware,2005,Total Electric Power Industry,Other Gases,492669.0
Delaware,2005,Total Electric Power Industry,Petroleum,1220238.0
Delaware,2006,"Combined Heat and Power, Electric Power",Coal,93371.0
Delaware,2006,"Combined Heat and Power, Electric Power",Natural Gas,8187.0
Delaware,2006,"Combined Heat and Power, Electric Power",Petroleum,0.0
Delaware,2006,"Combined Heat and Power, Industrial Power",Coal,97058.0
Delaware,2006,"Combined Heat and Power, Industrial Power",Natural Gas,5009.0
Delaware,2006,"Combined Heat and Power, Industrial Power",Other Gases,910268.0
Delaware,2006,"Combined Heat and Power, Industrial Power",Petroleum,26897.0
Delaware,2006,"Electric Generators, Electric Utilities",Natural Gas,16445.0
Delaware,2006,"Electric Generators, Electric Utilities",Petroleum,112.0
Delaware,2006,"Electric Generators, Independent Power Producers",Coal,4778382.0
Delaware,2006,"Electric Generators, Independent Power Producers",Natural Gas,1141128.0
Delaware,2006,"Electric Generators, Independent Power Producers",Other Biomass,417.0
Delaware,2006,"Electric Generators, Independent Power Producers",Petroleum,104904.0
Delaware,2006,Total Electric Power Industry,Coal,4968813.0
Delaware,2006,Total Electric Power Industry,Natural Gas,1170767.0
Delaware,2006,Total Electric Power Industry,Other Biomass,417.0
Delaware,2006,Total Electric Power Industry,Other Gases,910268.0
Delaware,2006,Total Electric Power Industry,Petroleum,131914.0
Delaware,2007,"Combined Heat and Power, Electric Power",Coal,112563.0
Delaware,2007,"Combined Heat and Power, Electric Power",Natural Gas,18203.0
Delaware,2007,"Combined Heat and Power, Electric Power",Petroleum,1325.0
Delaware,2007,"Combined Heat and Power, Industrial Power",Coal,95793.0
Delaware,2007,"Combined Heat and Power, Industrial Power",Natural Gas,215661.0
Delaware,2007,"Combined Heat and Power, Industrial Power",Other Gases,721105.0
Delaware,2007,"Combined Heat and Power, Industrial Power",Petroleum,38605.0
Delaware,2007,"Electric Generators, Electric Utilities",Natural Gas,43697.0
Delaware,2007,"Electric Generators, Electric Utilities",Petroleum,4131.0
Delaware,2007,"Electric Generators, Independent Power Producers",Coal,5413467.0
Delaware,2007,"Electric Generators, Independent Power Producers",Natural Gas,1624420.0
Delaware,2007,"Electric Generators, Independent Power Producers",Other Biomass,48117.0
Delaware,2007,"Electric Generators, Independent Power Producers",Petroleum,197077.0
Delaware,2007,Total Electric Power Industry,Coal,5621822.0
Delaware,2007,Total Electric Power Industry,Natural Gas,1901984.0
Delaware,2007,Total Electric Power Industry,Other Biomass,48117.0
Delaware,2007,Total Electric Power Industry,Other Gases,721105.0
Delaware,2007,Total Electric Power Industry,Petroleum,241136.0
Delaware,2008,"Combined Heat and Power, Electric Power",Coal,1367320.0
Delaware,2008,"Combined Heat and Power, Electric Power",Natural Gas,44668.0
Delaware,2008,"Combined Heat and Power, Electric Power",Other Biomass,109572.0
Delaware,2008,"Combined Heat and Power, Electric Power",Petroleum,57262.0
Delaware,2008,"Combined Heat and Power, Industrial Power",Coal,75729.0
Delaware,2008,"Combined Heat and Power, Industrial Power",Natural Gas,45546.0
Delaware,2008,"Combined Heat and Power, Industrial Power",Other,10941.0
Delaware,2008,"Combined Heat and Power, Industrial Power",Other Gases,476423.0
Delaware,2008,"Combined Heat and Power, Industrial Power",Petroleum,90753.0
Delaware,2008,"Electric Generators, Electric Utilities",Natural Gas,18555.0
Delaware,2008,"Electric Generators, Electric Utilities",Petroleum,512.0
Delaware,2008,"Electric Generators, Independent Power Producers",Coal,3823868.0
Delaware,2008,"Electric Generators, Independent Power Producers",Natural Gas,1278237.0
Delaware,2008,"Electric Generators, Independent Power Producers",Other Biomass,53804.0
Delaware,2008,"Electric Generators, Independent Power Producers",Petroleum,70650.0
Delaware,2008,Total Electric Power Industry,Coal,5266916.0
Delaware,2008,Total Electric Power Industry,Natural Gas,1387010.0
Delaware,2008,Total Electric Power Industry,Other,10941.0
Delaware,2008,Total Electric Power Industry,Other Biomass,163375.0
Delaware,2008,Total Electric Power Industry,Other Gases,476423.0
Delaware,2008,Total Electric Power Industry,Petroleum,219177.0
Delaware,2009,"Combined Heat and Power, Electric Power",Coal,515202.0
Delaware,2009,"Combined Heat and Power, Electric Power",Natural Gas,29011.0
Delaware,2009,"Combined Heat and Power, Electric Power",Other Biomass,84936.0
Delaware,2009,"Combined Heat and Power, Electric Power",Petroleum,46184.0
Delaware,2009,"Combined Heat and Power, Industrial Power",Coal,16176.0
Delaware,2009,"Combined Heat and Power, Industrial Power",Natural Gas,54004.0
Delaware,2009,"Combined Heat and Power, Industrial Power",Other,5877.0
Delaware,2009,"Combined Heat and Power, Industrial Power",Other Gases,227137.0
Delaware,2009,"Combined Heat and Power, Industrial Power",Petroleum,155686.0
Delaware,2009,"Electric Generators, Electric Utilities",Natural Gas,12311.0
Delaware,2009,"Electric Generators, Electric Utilities",Petroleum,457.0
Delaware,2009,"Electric Generators, Independent Power Producers",Coal,2316794.0
Delaware,2009,"Electric Generators, Independent Power Producers",Natural Gas,1281072.0
Delaware,2009,"Electric Generators, Independent Power Producers",Other Biomass,40674.0
Delaware,2009,"Electric Generators, Independent Power Producers",Petroleum,56037.0
Delaware,2009,Total Electric Power Industry,Coal,2848171.0
Delaware,2009,Total Electric Power Industry,Natural Gas,1376400.0
Delaware,2009,Total Electric Power Industry,Other,5877.0
Delaware,2009,Total Electric Power Industry,Other Biomass,125613.0
Delaware,2009,Total Electric Power Industry,Other Gases,227137.0
Delaware,2009,Total Electric Power Industry,Petroleum,258367.0
Delaware,2010,"Combined Heat and Power, Electric Power",Coal,296660.0
Delaware,2010,"Combined Heat and Power, Electric Power",Natural Gas,360444.0
Delaware,2010,"Combined Heat and Power, Electric Power",Other Biomass,90913.0
Delaware,2010,"Combined Heat and Power, Electric Power",Petroleum,10294.0
Delaware,2010,"Combined Heat and Power, Industrial Power",Natural Gas,0.0
Delaware,2010,"Combined Heat and Power, Industrial Power",Other,0.0
Delaware,2010,"Combined Heat and Power, Industrial Power",Other Gases,0.0
Delaware,2010,"Combined Heat and Power, Industrial Power",Petroleum,0.0
Delaware,2010,"Electric Generators, Electric Utilities",Natural Gas,29216.0
Delaware,2010,"Electric Generators, Electric Utilities",Petroleum,843.0
Delaware,2010,"Electric Generators, Independent Power Producers",Coal,2271711.0
Delaware,2010,"Electric Generators, Independent Power Producers",Natural Gas,2475323.0
Delaware,2010,"Electric Generators, Independent Power Producers",Other Biomass,44729.0
Delaware,2010,"Electric Generators, Independent Power Producers",Petroleum,44957.0
Delaware,2010,"Electric Generators, Independent Power Producers",Wind,2557.0
Delaware,2010,Total Electric Power Industry,Coal,2568370.0
Delaware,2010,Total Electric Power Industry,Natural Gas,2864980.0
Delaware,2010,Total Electric Power Industry,Other,0.0
Delaware,2010,Total Electric Power Industry,Other Biomass,135643.0
Delaware,2010,Total Electric Power Industry,Other Gases,0.0
Delaware,2010,Total Electric Power Industry,Petroleum,56096.0
Delaware,2010,Total Electric Power Industry,Wind,2557.0
Delaware,2011,"Combined Heat and Power, Commercial Power",Wind,4825.01
Delaware,2011,"Combined Heat and Power, Electric Power",Coal,63197.0
Delaware,2011,"Combined Heat and Power, Electric Power",Natural Gas,590753.67
Delaware,2011,"Combined Heat and Power, Electric Power",Other Biomass,83506.67
Delaware,2011,"Combined Heat and Power, Electric Power",Petroleum,13220.68
Delaware,2011,"Combined Heat and Power, Industrial Power",Natural Gas,188380.0
Delaware,2011,"Combined Heat and Power, Industrial Power",Other Gases,208254.0
Delaware,2011,"Electric Generators, Electric Utilities",Natural Gas,17703.59
Delaware,2011,"Electric Generators, Electric Utilities",Petroleum,1570.43
Delaware,2011,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,478.0
Delaware,2011,"Electric Generators, Independent Power Producers",Coal,1391798.87
Delaware,2011,"Electric Generators, Independent Power Producers",Natural Gas,3934531.7600000002
Delaware,2011,"Electric Generators, Independent Power Producers",Other Biomass,61224.99
Delaware,2011,"Electric Generators, Independent Power Producers",Petroleum,22948.35
Delaware,2011,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,7801.82
Delaware,2011,Total Electric Power Industry,Coal,1454995.87
Delaware,2011,Total Electric Power Industry,Natural Gas,4731369.0
Delaware,2011,Total Electric Power Industry,Other Biomass,144731.67
Delaware,2011,Total Electric Power Industry,Other Gases,208254.0
Delaware,2011,Total Electric Power Industry,Petroleum,37739.47
Delaware,2011,Total Electric Power Industry,Solar Thermal and Photovoltaic,8279.81
Delaware,2011,Total Electric Power Industry,Wind,4825.01
Delaware,2012,"Combined Heat and Power, Commercial Power",Wind,3638.0099999999998
Delaware,2012,"Combined Heat and Power, Electric Power",Coal,30226.0
Delaware,2012,"Combined Heat and Power, Electric Power",Natural Gas,1063172.43
Delaware,2012,"Combined Heat and Power, Electric Power",Other Biomass,43323.63
Delaware,2012,"Combined Heat and Power, Electric Power",Petroleum,6395.990000000001
Delaware,2012,"Combined Heat and Power, Industrial Power",Natural Gas,527790.59
Delaware,2012,"Combined Heat and Power, Industrial Power",Other Gases,243589.42
Delaware,2012,"Combined Heat and Power, Industrial Power",Petroleum,0.0
Delaware,2012,"Electric Generators, Electric Utilities",Natural Gas,9448.69
Delaware,2012,"Electric Generators, Electric Utilities",Petroleum,834.32
Delaware,2012,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,2152.01
Delaware,2012,"Electric Generators, Independent Power Producers",Coal,1392476.54
Delaware,2012,"Electric Generators, Independent Power Producers",Natural Gas,5214315.58
Delaware,2012,"Electric Generators, Independent Power Producers",Other Biomass,61530.0
Delaware,2012,"Electric Generators, Independent Power Producers",Petroleum,14393.93
Delaware,2012,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,20407.0
Delaware,2012,Total Electric Power Industry,Coal,1422702.54
Delaware,2012,Total Electric Power Industry,Natural Gas,6814727.24
Delaware,2012,Total Electric Power Industry,Other Biomass,104853.62
Delaware,2012,Total Electric Power Industry,Other Gases,243589.42
Delaware,2012,Total Electric Power Industry,Petroleum,21624.22
Delaware,2012,Total Electric Power Industry,Solar Thermal and Photovoltaic,22558.99
Delaware,2012,Total Electric Power Industry,Wind,3638.0099999999998
Delaware,2013,"Combined Heat and Power, Commercial Power",Wind,4458.0
Delaware,2013,"Combined Heat and Power, Electric Power",Coal,0.0
Delaware,2013,"Combined Heat and Power, Electric Power",Natural Gas,499114.66
Delaware,2013,"Combined Heat and Power, Electric Power",Other Biomass,0.0
Delaware,2013,"Combined Heat and Power, Electric Power",Petroleum,5500.349999999999
Delaware,2013,"Combined Heat and Power, Industrial Power",Natural Gas,803096.41
Delaware,2013,"Combined Heat and Power, Industrial Power",Other Gases,155408.6
Delaware,2013,"Combined Heat and Power, Industrial Power",Petroleum,0.0
Delaware,2013,"Electric Generators, Electric Utilities",Natural Gas,23755.41
Delaware,2013,"Electric Generators, Electric Utilities",Petroleum,218.62
Delaware,2013,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,2012.0
Delaware,2013,"Electric Generators, Independent Power Producers",Coal,1544720.51
Delaware,2013,"Electric Generators, Independent Power Producers",Natural Gas,4605321.4
Delaware,2013,"Electric Generators, Independent Power Producers",Other Biomass,57347.0
Delaware,2013,"Electric Generators, Independent Power Producers",Petroleum,17193.11
Delaware,2013,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,42715.01
Delaware,2013,Total Electric Power Industry,Coal,1544720.51
Delaware,2013,Total Electric Power Industry,Natural Gas,5931287.87
Delaware,2013,Total Electric Power Industry,Other Biomass,57347.0
Delaware,2013,Total Electric Power Industry,Other Gases,155408.6
Delaware,2013,Total Electric Power Industry,Petroleum,22912.05
Delaware,2013,Total Electric Power Industry,Solar Thermal and Photovoltaic,44727.01
Delaware,2013,Total Electric Power Industry,Wind,4458.0
Delaware,2014,"Combined Heat and Power, Commercial Power",Wind,4704.66
Delaware,2014,"Combined Heat and Power, Electric Power",Coal,0.0
Delaware,2014,"Combined Heat and Power, Electric Power",Natural Gas,968788.74
Delaware,2014,"Combined Heat and Power, Electric Power",Other Biomass,0.0
Delaware,2014,"Combined Heat and Power, Electric Power",Petroleum,39251.060000000005
Delaware,2014,"Combined Heat and Power, Industrial Power",Natural Gas,638777.11
Delaware,2014,"Combined Heat and Power, Industrial Power",Other Gases,226378.88999999998
Delaware,2014,"Combined Heat and Power, Industrial Power",Petroleum,0.0
Delaware,2014,"Electric Generators, Electric Utilities",Natural Gas,29585.24
Delaware,2014,"Electric Generators, Electric Utilities",Petroleum,549.62
Delaware,2014,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,9550.64
Delaware,2014,"Electric Generators, Independent Power Producers",Coal,865384.24
Delaware,2014,"Electric Generators, Independent Power Producers",Natural Gas,4612872.41
Delaware,2014,"Electric Generators, Independent Power Producers",Other Biomass,58644.58
Delaware,2014,"Electric Generators, Independent Power Producers",Petroleum,122987.08
Delaware,2014,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,49046.92
Delaware,2014,Total Electric Power Industry,Coal,865384.24
Delaware,2014,Total Electric Power Industry,Natural Gas,6250023.49
Delaware,2014,Total Electric Power Industry,Other Biomass,58644.58
Delaware,2014,Total Electric Power Industry,Other Gases,226378.88999999998
Delaware,2014,Total Electric Power Industry,Petroleum,162787.73
Delaware,2014,Total Electric Power Industry,Solar Thermal and Photovoltaic,58597.54
Delaware,2014,Total Electric Power Industry,Wind,4704.66
Delaware,2015,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,1072.0
Delaware,2015,"Combined Heat and Power, Commercial Power",Wind,5126.0
Delaware,2015,"Combined Heat and Power, Electric Power",Coal,0.0
Delaware,2015,"Combined Heat and Power, Electric Power",Natural Gas,255894.0
Delaware,2015,"Combined Heat and Power, Electric Power",Petroleum,3832.0
Delaware,2015,"Combined Heat and Power, Industrial Power",Natural Gas,966654.0
Delaware,2015,"Combined Heat and Power, Industrial Power",Other Biomass,15892.0
Delaware,2015,"Combined Heat and Power, Industrial Power",Other Gases,238081.0
Delaware,2015,"Combined Heat and Power, Industrial Power",Petroleum,0.0
Delaware,2015,"Electric Generators, Electric Utilities",Natural Gas,38548.0
Delaware,2015,"Electric Generators, Electric Utilities",Petroleum,4991.0
Delaware,2015,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,6512.0
Delaware,2015,"Electric Generators, Independent Power Producers",Coal,598588.0
Delaware,2015,"Electric Generators, Independent Power Producers",Natural Gas,5428174.0
Delaware,2015,"Electric Generators, Independent Power Producers",Other Biomass,60406.0
Delaware,2015,"Electric Generators, Independent Power Producers",Petroleum,145306.0
Delaware,2015,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,40928.0
Delaware,2015,Total Electric Power Industry,Coal,598588.0
Delaware,2015,Total Electric Power Industry,Natural Gas,6689268.0
Delaware,2015,Total Electric Power Industry,Other Biomass,76299.0
Delaware,2015,Total Electric Power Industry,Other Gases,238081.0
Delaware,2015,Total Electric Power Industry,Petroleum,154135.0
Delaware,2015,Total Electric Power Industry,Solar Thermal and Photovoltaic,48510.0
Delaware,2015,Total Electric Power Industry,Wind,5126.0
Delaware,2016,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,1332.0
Delaware,2016,"Combined Heat and Power, Commercial Power",Wind,5323.0
Delaware,2016,"Combined Heat and Power, Electric Power",Coal,0.0
Delaware,2016,"Combined Heat and Power, Electric Power",Natural Gas,230284.0
Delaware,2016,"Combined Heat and Power, Electric Power",Petroleum,5052.0
Delaware,2016,"Combined Heat and Power, Industrial Power",Natural Gas,995092.0
Delaware,2016,"Combined Heat and Power, Industrial Power",Other Biomass,16230.0
Delaware,2016,"Combined Heat and Power, Industrial Power",Other Gases,277477.0
Delaware,2016,"Combined Heat and Power, Industrial Power",Petroleum,0.0
Delaware,2016,"Electric Generators, Electric Utilities",Natural Gas,64266.0
Delaware,2016,"Electric Generators, Electric Utilities",Petroleum,8645.0
Delaware,2016,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,7181.0
Delaware,2016,"Electric Generators, Independent Power Producers",Coal,479351.0
Delaware,2016,"Electric Generators, Independent Power Producers",Natural Gas,6497832.0
Delaware,2016,"Electric Generators, Independent Power Producers",Other Biomass,51757.0
Delaware,2016,"Electric Generators, Independent Power Producers",Petroleum,48877.0
Delaware,2016,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,42573.0
Delaware,2016,Total Electric Power Industry,Coal,479351.0
Delaware,2016,Total Electric Power Industry,Natural Gas,7787467.0
Delaware,2016,Total Electric Power Industry,Other Biomass,67988.0
Delaware,2016,Total Electric Power Industry,Other Gases,277477.0
Delaware,2016,Total Electric Power Industry,Petroleum,62572.0
Delaware,2016,Total Electric Power Industry,Solar Thermal and Photovoltaic,51085.0
Delaware,2016,Total Electric Power Industry,Wind,5323.0
Delaware,2017,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,1455.0
Delaware,2017,"Combined Heat and Power, Commercial Power",Wind,4965.0
Delaware,2017,"Combined Heat and Power, Electric Power",Coal,0.0
Delaware,2017,"Combined Heat and Power, Electric Power",Natural Gas,71430.0
Delaware,2017,"Combined Heat and Power, Electric Power",Petroleum,797.0
Delaware,2017,"Combined Heat and Power, Industrial Power",Natural Gas,877619.0
Delaware,2017,"Combined Heat and Power, Industrial Power",Other Biomass,13274.0
Delaware,2017,"Combined Heat and Power, Industrial Power",Other Gases,270512.0
Delaware,2017,"Combined Heat and Power, Industrial Power",Petroleum,0.0
Delaware,2017,"Electric Generators, Electric Utilities",Natural Gas,15290.0
Delaware,2017,"Electric Generators, Electric Utilities",Petroleum,2101.0
Delaware,2017,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,6372.0
Delaware,2017,"Electric Generators, Independent Power Producers",Coal,358798.0
Delaware,2017,"Electric Generators, Independent Power Producers",Natural Gas,5758849.0
