State,YEAR,TYPE OF PRODUCER,GENERATION (Megawatthours)
Connecticut,2016,"Electric Generators, Independent Power Producers",35256432.0
Connecticut,2016,Total Electric Power Industry,36496560.0
Connecticut,2017,"Combined Heat and Power, Commercial Power",422812.0
Connecticut,2017,"Combined Heat and Power, Electric Power",221349.0
Connecticut,2017,"Combined Heat and Power, Industrial Power",615833.0
Connecticut,2017,"Electric Generators, Electric Utilities",98350.0
Connecticut,2017,"Electric Generators, Independent Power Producers",33204311.0
Connecticut,2017,Total Electric Power Industry,34562655.0
Connecticut,2018,"Combined Heat and Power, Commercial Power",432821.0
Connecticut,2018,"Combined Heat and Power, Electric Power",261724.0
Connecticut,2018,"Combined Heat and Power, Industrial Power",644444.0
Connecticut,2018,"Electric Generators, Electric Utilities",108941.0
Connecticut,2018,"Electric Generators, Independent Power Producers",38005621.0
Connecticut,2018,Total Electric Power Industry,39453552.0
Connecticut,2019,"Combined Heat and Power, Commercial Power",444759.0
Connecticut,2019,"Combined Heat and Power, Electric Power",194534.0
Connecticut,2019,"Combined Heat and Power, Industrial Power",660714.0
Connecticut,2019,"Electric Generators, Electric Utilities",98553.0
Connecticut,2019,"Electric Generators, Independent Power Producers",38651473.0
Connecticut,2019,Total Electric Power Industry,40050038.0
Connecticut,2020,"Combined Heat and Power, Commercial Power",330390.0
Connecticut,2020,"Combined Heat and Power, Electric Power",186292.0
Connecticut,2020,"Combined Heat and Power, Industrial Power",614109.0
Connecticut,2020,"Electric Generators, Electric Utilities",95905.0
Connecticut,2020,"Electric Generators, Independent Power Producers",39963877.0
Connecticut,2020,Total Electric Power Industry,41190571.0
Connecticut,2021,"Combined Heat and Power, Commercial Power",316117.0
Connecticut,2021,"Combined Heat and Power, Electric Power",123788.0
Connecticut,2021,"Combined Heat and Power, Industrial Power",612115.0
Connecticut,2021,"Electric Generators, Electric Utilities",94322.0
Connecticut,2021,"Electric Generators, Independent Power Producers",42977227.0
Connecticut,2021,Total Electric Power Industry,44123571.0
Connecticut,2022,"Combined Heat and Power, Commercial Power",120076.0
Connecticut,2022,"Combined Heat and Power, Electric Power",57784.0
Connecticut,2022,"Combined Heat and Power, Industrial Power",230153.0
Connecticut,2022,"Electric Generators, Electric Utilities",35776.0
Connecticut,2022,"Electric Generators, Independent Power Producers",15341202.0
Connecticut,2022,Total Electric Power Industry,15784992.0
Delaware,2001,"Combined Heat and Power, Industrial Power",507059.0
Delaware,2001,"Electric Generators, Electric Utilities",1872054.0
Delaware,2001,"Electric Generators, Independent Power Producers",4428572.0
Delaware,2001,Total Electric Power Industry,6807685.0
Delaware,2002,"Combined Heat and Power, Industrial Power",560041.0
Delaware,2002,"Electric Generators, Electric Utilities",170992.0
Delaware,2002,"Electric Generators, Independent Power Producers",5271458.0
Delaware,2002,Total Electric Power Industry,6002490.0
Delaware,2003,"Combined Heat and Power, Electric Power",109420.0
Delaware,2003,"Combined Heat and Power, Industrial Power",599010.0
Delaware,2003,"Electric Generators, Electric Utilities",31107.0
Delaware,2003,"Electric Generators, Independent Power Producers",6652748.0
Delaware,2003,Total Electric Power Industry,7392287.0
Delaware,2004,"Combined Heat and Power, Electric Power",128361.0
Delaware,2004,"Combined Heat and Power, Industrial Power",837521.0
Delaware,2004,"Electric Generators, Electric Utilities",23752.0
Delaware,2004,"Electric Generators, Independent Power Producers",6865920.0
Delaware,2004,Total Electric Power Industry,7855551.0
Delaware,2005,"Combined Heat and Power, Electric Power",129438.0
Delaware,2005,"Combined Heat and Power, Industrial Power",903402.0
Delaware,2005,"Electric Generators, Electric Utilities",25989.0
Delaware,2005,"Electric Generators, Independent Power Producers",7077738.0
Delaware,2005,Total Electric Power Industry,8136569.0
Delaware,2006,"Combined Heat and Power, Electric Power",101556.0
Delaware,2006,"Combined Heat and Power, Industrial Power",1039232.0
Delaware,2006,"Electric Generators, Electric Utilities",16559.0
Delaware,2006,"Electric Generators, Independent Power Producers",6024831.0
Delaware,2006,Total Electric Power Industry,7182180.0
Delaware,2007,"Combined Heat and Power, Electric Power",132092.0
Delaware,2007,"Combined Heat and Power, Industrial Power",1071166.0
Delaware,2007,"Electric Generators, Electric Utilities",47829.0
Delaware,2007,"Electric Generators, Independent Power Producers",7283079.0
Delaware,2007,Total Electric Power Industry,8534163.0
Delaware,2008,"Combined Heat and Power, Electric Power",1578823.0
Delaware,2008,"Combined Heat and Power, Industrial Power",699391.0
Delaware,2008,"Electric Generators, Electric Utilities",19068.0
Delaware,2008,"Electric Generators, Independent Power Producers",5226557.0
Delaware,2008,Total Electric Power Industry,7523839.0
Delaware,2009,"Combined Heat and Power, Electric Power",675336.0
Delaware,2009,"Combined Heat and Power, Industrial Power",458880.0
Delaware,2009,"Electric Generators, Electric Utilities",12767.0
Delaware,2009,"Electric Generators, Independent Power Producers",3694580.0
Delaware,2009,Total Electric Power Industry,4841563.0
Delaware,2010,"Combined Heat and Power, Electric Power",758314.0
Delaware,2010,"Combined Heat and Power, Industrial Power",0.0
Delaware,2010,"Electric Generators, Electric Utilities",30059.0
Delaware,2010,"Electric Generators, Independent Power Producers",4839273.0
Delaware,2010,Total Electric Power Industry,5627647.0
Delaware,2011,"Combined Heat and Power, Commercial Power",4825.01
Delaware,2011,"Combined Heat and Power, Electric Power",750678.02
Delaware,2011,"Combined Heat and Power, Industrial Power",396634.0
Delaware,2011,"Electric Generators, Electric Utilities",19751.989999999998
Delaware,2011,"Electric Generators, Independent Power Producers",5418305.79
Delaware,2011,Total Electric Power Industry,6590194.81
Delaware,2012,"Combined Heat and Power, Commercial Power",3638.0099999999998
Delaware,2012,"Combined Heat and Power, Electric Power",1143118.01
Delaware,2012,"Combined Heat and Power, Industrial Power",771380.0
Delaware,2012,"Electric Generators, Electric Utilities",12435.02
Delaware,2012,"Electric Generators, Independent Power Producers",6703123.01
Delaware,2012,Total Electric Power Industry,8633694.01
Delaware,2013,"Combined Heat and Power, Commercial Power",4458.0
Delaware,2013,"Combined Heat and Power, Electric Power",504615.01
Delaware,2013,"Combined Heat and Power, Industrial Power",958505.0
Delaware,2013,"Electric Generators, Electric Utilities",25986.01
Delaware,2013,"Electric Generators, Independent Power Producers",6267297.01
Delaware,2013,Total Electric Power Industry,7760861.01
Delaware,2014,"Combined Heat and Power, Commercial Power",4704.66
Delaware,2014,"Combined Heat and Power, Electric Power",1008039.7899999999
Delaware,2014,"Combined Heat and Power, Industrial Power",865156.0
Delaware,2014,"Electric Generators, Electric Utilities",39685.47
Delaware,2014,"Electric Generators, Independent Power Producers",5708935.19
Delaware,2014,Total Electric Power Industry,7626521.1
Delaware,2015,"Combined Heat and Power, Commercial Power",6199.0
Delaware,2015,"Combined Heat and Power, Electric Power",259726.0
Delaware,2015,"Combined Heat and Power, Industrial Power",1220627.0
Delaware,2015,"Electric Generators, Electric Utilities",50050.0
Delaware,2015,"Electric Generators, Independent Power Producers",6273402.0
Delaware,2015,Total Electric Power Industry,7810006.0
Delaware,2016,"Combined Heat and Power, Commercial Power",6653.0
Delaware,2016,"Combined Heat and Power, Electric Power",235335.0
Delaware,2016,"Combined Heat and Power, Industrial Power",1288799.0
Delaware,2016,"Electric Generators, Electric Utilities",80090.0
Delaware,2016,"Electric Generators, Independent Power Producers",7120387.0
Delaware,2016,Total Electric Power Industry,8731260.0
Delaware,2017,"Combined Heat and Power, Commercial Power",6420.0
Delaware,2017,"Combined Heat and Power, Electric Power",72227.0
Delaware,2017,"Combined Heat and Power, Industrial Power",1161407.0
Delaware,2017,"Electric Generators, Electric Utilities",23763.0
Delaware,2017,"Electric Generators, Independent Power Producers",6232167.0
Delaware,2017,Total Electric Power Industry,7495976.0
Delaware,2018,"Combined Heat and Power, Commercial Power",5803.0
Delaware,2018,"Combined Heat and Power, Electric Power",93314.0
Delaware,2018,"Combined Heat and Power, Industrial Power",1073446.0
Delaware,2018,"Electric Generators, Electric Utilities",36912.0
Delaware,2018,"Electric Generators, Independent Power Producers",5031168.0
Delaware,2018,Total Electric Power Industry,6240643.0
Delaware,2019,"Combined Heat and Power, Commercial Power",5725.0
Delaware,2019,"Combined Heat and Power, Electric Power",103374.0
Delaware,2019,"Combined Heat and Power, Industrial Power",1331856.0
Delaware,2019,"Electric Generators, Electric Utilities",35106.0
Delaware,2019,"Electric Generators, Independent Power Producers",3782477.0
Delaware,2019,Total Electric Power Industry,5258537.0
Delaware,2020,"Combined Heat and Power, Commercial Power",5671.0
Delaware,2020,"Combined Heat and Power, Electric Power",87197.0
Delaware,2020,"Combined Heat and Power, Industrial Power",1161685.0
Delaware,2020,"Electric Generators, Electric Utilities",34055.0
Delaware,2020,"Electric Generators, Independent Power Producers",3916763.0
Delaware,2020,Total Electric Power Industry,5205373.0
Delaware,2021,"Combined Heat and Power, Commercial Power",5393.0
Delaware,2021,"Combined Heat and Power, Electric Power",120682.0
Delaware,2021,"Combined Heat and Power, Industrial Power",911931.0
Delaware,2021,"Electric Generators, Electric Utilities",27602.0
Delaware,2021,"Electric Generators, Independent Power Producers",2974363.0
Delaware,2021,Total Electric Power Industry,4039971.0
Delaware,2022,"Combined Heat and Power, Commercial Power",3200.0
Delaware,2022,"Combined Heat and Power, Electric Power",24146.0
Delaware,2022,"Combined Heat and Power, Industrial Power",397962.0
Delaware,2022,"Electric Generators, Electric Utilities",12254.0
Delaware,2022,"Electric Generators, Independent Power Producers",1032190.0
Delaware,2022,Total Electric Power Industry,1469750.0
District of Columbia,2001,"Electric Generators, Independent Power Producers",123239.0
District of Columbia,2001,Total Electric Power Industry,123239.0
District of Columbia,2002,"Electric Generators, Independent Power Producers",261980.0
District of Columbia,2002,Total Electric Power Industry,261980.0
District of Columbia,2003,"Electric Generators, Independent Power Producers",74144.0
District of Columbia,2003,Total Electric Power Industry,74144.0
District of Columbia,2004,"Electric Generators, Independent Power Producers",36487.0
District of Columbia,2004,Total Electric Power Industry,36487.0
District of Columbia,2005,"Electric Generators, Independent Power Producers",226042.0
District of Columbia,2005,Total Electric Power Industry,226042.0
District of Columbia,2006,"Electric Generators, Independent Power Producers",81467.0
District of Columbia,2006,Total Electric Power Industry,81467.0
District of Columbia,2007,"Electric Generators, Independent Power Producers",75251.0
District of Columbia,2007,Total Electric Power Industry,75251.0
District of Columbia,2008,"Electric Generators, Independent Power Producers",72316.0
District of Columbia,2008,Total Electric Power Industry,72316.0
District of Columbia,2009,"Electric Generators, Independent Power Producers",35499.0
District of Columbia,2009,Total Electric Power Industry,35499.0
District of Columbia,2010,"Electric Generators, Independent Power Producers",199858.0
District of Columbia,2010,Total Electric Power Industry,199858.0
District of Columbia,2011,"Electric Generators, Electric Utilities",71198.96
District of Columbia,2011,"Electric Generators, Independent Power Producers",129675.0
District of Columbia,2011,Total Electric Power Industry,200873.96000000002
District of Columbia,2012,"Combined Heat and Power, Commercial Power",62387.78
District of Columbia,2012,"Electric Generators, Independent Power Producers",9399.0
District of Columbia,2012,Total Electric Power Industry,71786.78
District of Columbia,2013,"Combined Heat and Power, Commercial Power",65852.09
District of Columbia,2013,Total Electric Power Industry,65852.09
District of Columbia,2014,"Combined Heat and Power, Commercial Power",64972.46
District of Columbia,2014,Total Electric Power Industry,64972.46
District of Columbia,2015,"Combined Heat and Power, Commercial Power",22752.0
District of Columbia,2015,"Combined Heat and Power, Electric Power",30998.0
District of Columbia,2015,Total Electric Power Industry,53751.0
District of Columbia,2016,"Combined Heat and Power, Commercial Power",23672.0
District of Columbia,2016,"Combined Heat and Power, Electric Power",52801.0
District of Columbia,2016,Total Electric Power Industry,76476.0
District of Columbia,2017,"Combined Heat and Power, Commercial Power",66871.0
District of Columbia,2017,Total Electric Power Industry,66871.0
District of Columbia,2018,"Combined Heat and Power, Commercial Power",79331.0
District of Columbia,2018,Total Electric Power Industry,79331.0
District of Columbia,2019,"Combined Heat and Power, Commercial Power",165251.0
District of Columbia,2019,"Electric Generators, Independent Power Producers",8829.0
District of Columbia,2019,Total Electric Power Industry,174078.0
District of Columbia,2020,"Combined Heat and Power, Commercial Power",188407.0
District of Columbia,2020,"Electric Generators, Independent Power Producers",12697.0
District of Columbia,2020,Total Electric Power Industry,201105.0
District of Columbia,2021,"Combined Heat and Power, Commercial Power",192256.0
District of Columbia,2021,"Electric Generators, Independent Power Producers",25982.0
District of Columbia,2021,Total Electric Power Industry,218238.0
District of Columbia,2022,"Combined Heat and Power, Commercial Power",69833.0
District of Columbia,2022,"Electric Generators, Independent Power Producers",12377.0
District of Columbia,2022,Total Electric Power Industry,82212.0
Florida,2001,"Combined Heat and Power, Commercial Power",107240.0
Florida,2001,"Combined Heat and Power, Electric Power",8956927.0
Florida,2001,"Combined Heat and Power, Industrial Power",5240366.0
Florida,2001,"Electric Generators, Electric Utilities",170966176.0
Florida,2001,"Electric Generators, Independent Power Producers",5674634.0
Florida,2001,Total Electric Power Industry,190945343.0
Florida,2002,"Combined Heat and Power, Commercial Power",110844.0
Florida,2002,"Combined Heat and Power, Electric Power",9241656.0
Florida,2002,"Combined Heat and Power, Industrial Power",4406598.0
Florida,2002,"Electric Generators, Electric Utilities",182346627.0
Florida,2002,"Electric Generators, Independent Power Producers",7247050.0
Florida,2002,Total Electric Power Industry,203352778.0
Florida,2003,"Combined Heat and Power, Commercial Power",73252.0
Florida,2003,"Combined Heat and Power, Electric Power",10335088.0
Florida,2003,"Combined Heat and Power, Industrial Power",5891364.0
Florida,2003,"Electric Generators, Electric Utilities",188034718.0
Florida,2003,"Electric Generators, Independent Power Producers",8275589.0
Florida,2003,Total Electric Power Industry,212610013.0
Florida,2004,"Combined Heat and Power, Commercial Power",96246.0
Florida,2004,"Combined Heat and Power, Electric Power",8779322.0
Florida,2004,"Combined Heat and Power, Industrial Power",5524285.0
Florida,2004,"Electric Generators, Electric Utilities",193383663.0
Florida,2004,"Electric Generators, Independent Power Producers",10334410.0
Florida,2004,Total Electric Power Industry,218117927.0
Florida,2005,"Combined Heat and Power, Commercial Power",97299.0
Florida,2005,"Combined Heat and Power, Electric Power",8514852.0
Florida,2005,"Combined Heat and Power, Industrial Power",5358850.0
Florida,2005,"Electric Generators, Electric Utilities",196096287.0
Florida,2005,"Electric Generators, Independent Power Producers",10189125.0
Florida,2005,Total Electric Power Industry,220256411.0
Florida,2006,"Combined Heat and Power, Commercial Power",90622.0
Florida,2006,"Combined Heat and Power, Electric Power",8656172.0
Florida,2006,"Combined Heat and Power, Industrial Power",4833935.0
Florida,2006,"Electric Generators, Electric Utilities",200015228.0
Florida,2006,"Electric Generators, Independent Power Producers",10155663.0
Florida,2006,Total Electric Power Industry,223751621.0
Florida,2007,"Combined Heat and Power, Commercial Power",82076.0
Florida,2007,"Combined Heat and Power, Electric Power",8419542.0
Florida,2007,"Combined Heat and Power, Industrial Power",4880925.0
Florida,2007,"Electric Generators, Electric Utilities",200533886.0
Florida,2007,"Electric Generators, Independent Power Producers",11499634.0
Florida,2007,Total Electric Power Industry,225416061.0
Florida,2008,"Combined Heat and Power, Commercial Power",69750.0
Florida,2008,"Combined Heat and Power, Electric Power",8325523.0
Florida,2008,"Combined Heat and Power, Industrial Power",4575095.0
Florida,2008,"Electric Generators, Electric Utilities",196524350.0
Florida,2008,"Electric Generators, Independent Power Producers",10142100.0
Florida,2008,Total Electric Power Industry,219636819.0
Florida,2009,"Combined Heat and Power, Commercial Power",64295.0
Florida,2009,"Combined Heat and Power, Electric Power",7202637.0
Florida,2009,"Combined Heat and Power, Industrial Power",4848200.0
Florida,2009,"Electric Generators, Electric Utilities",195063261.0
Florida,2009,"Electric Generators, Independent Power Producers",10773916.0
Florida,2009,Total Electric Power Industry,217952307.0
Florida,2010,"Combined Heat and Power, Commercial Power",68667.0
Florida,2010,"Combined Heat and Power, Electric Power",6914175.0
Florida,2010,"Combined Heat and Power, Industrial Power",5464336.0
Florida,2010,"Electric Generators, Electric Utilities",206062184.0
Florida,2010,"Electric Generators, Independent Power Producers",10586569.0
Florida,2010,Total Electric Power Industry,229095934.0
Florida,2011,"Combined Heat and Power, Commercial Power",67377.27
Florida,2011,"Combined Heat and Power, Electric Power",5711247.35
Florida,2011,"Combined Heat and Power, Industrial Power",5689053.16
Florida,2011,"Electric Generators, Electric Utilities",200023291.33
Florida,2011,"Electric Generators, Independent Power Producers",10403605.0
Florida,2011,Total Electric Power Industry,221894574.09
Florida,2012,"Combined Heat and Power, Commercial Power",64754.84
Florida,2012,"Combined Heat and Power, Electric Power",5816993.58
Florida,2012,"Combined Heat and Power, Industrial Power",5414201.87
Florida,2012,"Electric Generators, Electric Utilities",198199457.74
Florida,2012,"Electric Generators, Independent Power Producers",11600727.99
Florida,2012,Total Electric Power Industry,221096135.98000002
Florida,2013,"Combined Heat and Power, Commercial Power",63979.76
Florida,2013,"Combined Heat and Power, Electric Power",5216520.9
Florida,2013,"Combined Heat and Power, Industrial Power",5506751.23
Florida,2013,"Electric Generators, Electric Utilities",202527297.1
Florida,2013,"Electric Generators, Independent Power Producers",9084375.01
Florida,2013,Total Electric Power Industry,222398923.99
Florida,2014,"Combined Heat and Power, Commercial Power",75353.57
Florida,2014,"Combined Heat and Power, Electric Power",5142483.27
Florida,2014,"Combined Heat and Power, Industrial Power",5130479.47
Florida,2014,"Electric Generators, Electric Utilities",211976930.76
Florida,2014,"Electric Generators, Independent Power Producers",8736913.28
Florida,2014,Total Electric Power Industry,231062160.32
Florida,2015,"Combined Heat and Power, Commercial Power",79073.0
Florida,2015,"Combined Heat and Power, Electric Power",4011387.0
Florida,2015,"Combined Heat and Power, Industrial Power",5356122.0
Florida,2015,"Electric Generators, Electric Utilities",218247421.0
Florida,2015,"Electric Generators, Independent Power Producers",9718631.0
Florida,2015,Total Electric Power Industry,237412634.0
Florida,2016,"Combined Heat and Power, Commercial Power",84479.0
Florida,2016,"Combined Heat and Power, Electric Power",4452653.0
Florida,2016,"Combined Heat and Power, Industrial Power",5358371.0
Florida,2016,"Electric Generators, Electric Utilities",216243634.0
Florida,2016,"Electric Generators, Independent Power Producers",12123015.0
Florida,2016,Total Electric Power Industry,238262150.0
Florida,2017,"Combined Heat and Power, Commercial Power",71665.0
Florida,2017,"Combined Heat and Power, Electric Power",3095746.0
Florida,2017,"Combined Heat and Power, Industrial Power",5188148.0
Florida,2017,"Electric Generators, Electric Utilities",222272234.0
Florida,2017,"Electric Generators, Independent Power Producers",7785644.0
Florida,2017,Total Electric Power Industry,238413437.0
Florida,2018,"Combined Heat and Power, Commercial Power",80386.0
Florida,2018,"Combined Heat and Power, Electric Power",2179066.0
Florida,2018,"Combined Heat and Power, Industrial Power",5079348.0
Florida,2018,"Electric Generators, Electric Utilities",227284078.0
Florida,2018,"Electric Generators, Independent Power Producers",9629157.0
Florida,2018,Total Electric Power Industry,244252037.0
Florida,2019,"Combined Heat and Power, Commercial Power",69529.0
Florida,2019,"Combined Heat and Power, Electric Power",2059196.0
Florida,2019,"Combined Heat and Power, Industrial Power",5106561.0
Florida,2019,"Electric Generators, Electric Utilities",229438375.0
Florida,2019,"Electric Generators, Independent Power Producers",8929822.0
Florida,2019,Total Electric Power Industry,245603484.0
Florida,2020,"Combined Heat and Power, Commercial Power",96202.0
Florida,2020,"Combined Heat and Power, Electric Power",1977277.0
Florida,2020,"Combined Heat and Power, Industrial Power",4779124.0
Florida,2020,"Electric Generators, Electric Utilities",234441890.0
Florida,2020,"Electric Generators, Independent Power Producers",9533305.0
Florida,2020,Total Electric Power Industry,250827800.0
Florida,2021,"Combined Heat and Power, Commercial Power",94938.0
Florida,2021,"Combined Heat and Power, Electric Power",1687471.0
Florida,2021,"Combined Heat and Power, Industrial Power",4627609.0
Florida,2021,"Electric Generators, Electric Utilities",227993630.0
Florida,2021,"Electric Generators, Independent Power Producers",9997385.0
Florida,2021,Total Electric Power Industry,244401034.0
Florida,2022,"Combined Heat and Power, Commercial Power",176056.0
Florida,2022,"Combined Heat and Power, Electric Power",663568.0
Florida,2022,"Combined Heat and Power, Industrial Power",1838290.0
Florida,2022,"Electric Generators, Electric Utilities",91190112.0
Florida,2022,"Electric Generators, Independent Power Producers",4162025.0
Florida,2022,Total Electric Power Industry,98030052.0
Georgia,2001,"Combined Heat and Power, Commercial Power",2820.0
Georgia,2001,"Combined Heat and Power, Electric Power",386085.0
Georgia,2001,"Combined Heat and Power, Industrial Power",5515837.0
Georgia,2001,"Electric Generators, Electric Utilities",110564675.0
Georgia,2001,"Electric Generators, Independent Power Producers",1847371.0
Georgia,2001,Total Electric Power Industry,118316788.0
Georgia,2002,"Combined Heat and Power, Commercial Power",2805.0
Georgia,2002,"Combined Heat and Power, Electric Power",388372.0
Georgia,2002,"Combined Heat and Power, Industrial Power",9371558.0
Georgia,2002,"Electric Generators, Electric Utilities",111855966.0
Georgia,2002,"Electric Generators, Independent Power Producers",4893513.0
Georgia,2002,Total Electric Power Industry,126512215.0
Georgia,2003,"Combined Heat and Power, Commercial Power",2982.0
Georgia,2003,"Combined Heat and Power, Electric Power",207241.0
Georgia,2003,"Combined Heat and Power, Industrial Power",5080653.0
Georgia,2003,"Electric Generators, Electric Utilities",115755116.0
Georgia,2003,"Electric Generators, Independent Power Producers",3030843.0
Georgia,2003,Total Electric Power Industry,124076833.0
Georgia,2004,"Combined Heat and Power, Commercial Power",3260.0
Georgia,2004,"Combined Heat and Power, Electric Power",32500.0
Georgia,2004,"Combined Heat and Power, Industrial Power",4996661.0
Georgia,2004,"Electric Generators, Electric Utilities",117918895.0
Georgia,2004,"Electric Generators, Independent Power Producers",3861397.0
Georgia,2004,Total Electric Power Industry,126812715.0
Georgia,2005,"Combined Heat and Power, Commercial Power",9859.0
Georgia,2005,"Combined Heat and Power, Electric Power",140774.0
Georgia,2005,"Combined Heat and Power, Industrial Power",5159174.0
Georgia,2005,"Electric Generators, Electric Utilities",126444776.0
Georgia,2005,"Electric Generators, Independent Power Producers",4913312.0
Georgia,2005,Total Electric Power Industry,136667892.0
Georgia,2006,"Combined Heat and Power, Commercial Power",3813.0
Georgia,2006,"Combined Heat and Power, Electric Power",177931.0
Georgia,2006,"Combined Heat and Power, Industrial Power",5297003.0
Georgia,2006,"Electric Generators, Electric Utilities",127367613.0
Georgia,2006,"Electric Generators, Independent Power Producers",5163847.0
Georgia,2006,Total Electric Power Industry,138010207.0
Georgia,2007,"Combined Heat and Power, Commercial Power",4180.0
Georgia,2007,"Combined Heat and Power, Electric Power",274279.0
Georgia,2007,"Combined Heat and Power, Industrial Power",5201762.0
Georgia,2007,"Electric Generators, Electric Utilities",132831987.0
Georgia,2007,"Electric Generators, Independent Power Producers",6842948.0
Georgia,2007,Total Electric Power Industry,145155159.0
Georgia,2008,"Combined Heat and Power, Commercial Power",1855.0
Georgia,2008,"Combined Heat and Power, Electric Power",113555.0
Georgia,2008,"Combined Heat and Power, Industrial Power",4595960.0
Georgia,2008,"Electric Generators, Electric Utilities",126031262.0
Georgia,2008,"Electric Generators, Independent Power Producers",5430762.0
Georgia,2008,Total Electric Power Industry,136173396.0
Georgia,2009,"Combined Heat and Power, Commercial Power",24143.0
Georgia,2009,"Combined Heat and Power, Electric Power",25308.0
Georgia,2009,"Combined Heat and Power, Industrial Power",4493861.0
Georgia,2009,"Electric Generators, Electric Utilities",115074704.0
Georgia,2009,"Electric Generators, Independent Power Producers",9080364.0
Georgia,2009,Total Electric Power Industry,128698378.0
Georgia,2010,"Combined Heat and Power, Commercial Power",22763.0
Georgia,2010,"Combined Heat and Power, Electric Power",178024.0
Georgia,2010,"Combined Heat and Power, Industrial Power",4834825.0
Georgia,2010,"Electric Generators, Electric Utilities",120425913.0
Georgia,2010,"Electric Generators, Independent Power Producers",12115415.0
Georgia,2010,Total Electric Power Industry,137576940.0
Georgia,2011,"Combined Heat and Power, Commercial Power",24936.2
Georgia,2011,"Combined Heat and Power, Electric Power",260774.0
Georgia,2011,"Combined Heat and Power, Industrial Power",4736108.9
Georgia,2011,"Electric Generators, Electric Utilities",106686583.06
Georgia,2011,"Electric Generators, Independent Power Producers",13065835.0
Georgia,2011,Total Electric Power Industry,124774237.15
Georgia,2012,"Combined Heat and Power, Commercial Power",30844.989999999998
Georgia,2012,"Combined Heat and Power, Electric Power",380258.0
Georgia,2012,"Combined Heat and Power, Industrial Power",4768818.17
Georgia,2012,"Electric Generators, Electric Utilities",100995036.0
Georgia,2012,"Electric Generators, Independent Power Producers",16131406.68
Georgia,2012,Total Electric Power Industry,122306363.86
Georgia,2013,"Combined Heat and Power, Commercial Power",27627.53
Georgia,2013,"Combined Heat and Power, Electric Power",73393.0
Georgia,2013,"Combined Heat and Power, Industrial Power",4723180.78
Georgia,2013,"Electric Generators, Electric Utilities",107082884.0
Georgia,2013,"Electric Generators, Independent Power Producers",9046648.99
Georgia,2013,Total Electric Power Industry,120953734.31
Georgia,2014,"Combined Heat and Power, Commercial Power",29977.05
Georgia,2014,"Combined Heat and Power, Electric Power",210221.4
Georgia,2014,"Combined Heat and Power, Industrial Power",4666164.75
Georgia,2014,"Electric Generators, Electric Utilities",109664629.85
Georgia,2014,"Electric Generators, Independent Power Producers",11386140.87
Georgia,2014,Total Electric Power Industry,125957133.91000001
Georgia,2015,"Combined Heat and Power, Commercial Power",14056.0
Georgia,2015,"Combined Heat and Power, Electric Power",254594.0
Georgia,2015,"Combined Heat and Power, Industrial Power",5115854.0
Georgia,2015,"Electric Generators, Electric Utilities",110212881.0
Georgia,2015,"Electric Generators, Independent Power Producers",13220513.0
Georgia,2015,Total Electric Power Industry,128817897.0
Georgia,2016,"Combined Heat and Power, Commercial Power",7824.0
Georgia,2016,"Combined Heat and Power, Electric Power",493965.0
Georgia,2016,"Combined Heat and Power, Industrial Power",4753736.0
Georgia,2016,"Electric Generators, Electric Utilities",115955092.0
Georgia,2016,"Electric Generators, Independent Power Producers",12169799.0
Georgia,2016,Total Electric Power Industry,133380415.0
Georgia,2017,"Combined Heat and Power, Commercial Power",5614.0
Georgia,2017,"Combined Heat and Power, Electric Power",358256.0
Georgia,2017,"Combined Heat and Power, Industrial Power",5062759.0
Georgia,2017,"Electric Generators, Electric Utilities",107178797.0
Georgia,2017,"Electric Generators, Independent Power Producers",14849891.0
Georgia,2017,Total Electric Power Industry,127455313.0
Georgia,2018,"Combined Heat and Power, Commercial Power",6911.0
Georgia,2018,"Combined Heat and Power, Electric Power",289511.0
Georgia,2018,"Combined Heat and Power, Industrial Power",5237831.0
Georgia,2018,"Electric Generators, Electric Utilities",109170813.0
Georgia,2018,"Electric Generators, Independent Power Producers",14534305.0
Georgia,2018,Total Electric Power Industry,129239370.0
Georgia,2019,"Combined Heat and Power, Commercial Power",7032.0
Georgia,2019,"Combined Heat and Power, Electric Power",545797.0
Georgia,2019,"Combined Heat and Power, Industrial Power",5183729.0
Georgia,2019,"Electric Generators, Electric Utilities",107079416.0
Georgia,2019,"Electric Generators, Independent Power Producers",15875596.0
Georgia,2019,Total Electric Power Industry,128691568.0
Georgia,2020,"Combined Heat and Power, Commercial Power",4456.0
Georgia,2020,"Combined Heat and Power, Electric Power",503607.0
Georgia,2020,"Combined Heat and Power, Industrial Power",5251129.0
Georgia,2020,"Electric Generators, Electric Utilities",96522565.0
Georgia,2020,"Electric Generators, Independent Power Producers",17844241.0
Georgia,2020,Total Electric Power Industry,120126002.0
Georgia,2021,"Combined Heat and Power, Commercial Power",4711.0
Georgia,2021,"Combined Heat and Power, Electric Power",527596.0
Georgia,2021,"Combined Heat and Power, Industrial Power",5095129.0
Georgia,2021,"Electric Generators, Electric Utilities",102646392.0
Georgia,2021,"Electric Generators, Independent Power Producers",18256917.0
Georgia,2021,Total Electric Power Industry,126530744.0
Georgia,2022,"Combined Heat and Power, Commercial Power",1925.0
Georgia,2022,"Combined Heat and Power, Electric Power",209253.0
Georgia,2022,"Combined Heat and Power, Industrial Power",2079662.0
Georgia,2022,"Electric Generators, Electric Utilities",39777504.0
